year,source,pronoun,frequency,,pronoun_prop
1768,The South Carolina Gazette,them,0,,Them
1768,The Virginia Gazette,them,42.73504273504274,,Them
1769,The South Carolina Gazette,them,39.33136676499509,,Them
1769,The Virginia Gazette,them,82.11678832116789,,Them
1770,The South Carolina Gazette,them,18.69158878504673,,Them
1770,The Virginia Gazette,them,26.666666666666664,,Them
1771,The South Carolina Gazette,them,141.11006585136406,,Them
1771,The Virginia Gazette,them,26.888948642108094,,Them
1772,The South Carolina Gazette,them,75.75757575757576,,Them
1772,The Virginia Gazette,them,0,,Them
1773,The South Carolina Gazette,them,57.63688760806916,,Them
1773,The Virginia Gazette,them,92.12730318257957,,Them
1774,The South Carolina Gazette,them,72.79947055,,Them
1774,The Virginia Gazette,them,83.97932816537468,,Them
1775,The South Carolina Gazette,them,135.13513513513513,,Them
1775,The Virginia Gazette,them,38.8852884,,Them
1732,The South Carolina Gazette,their,46.62004662004662,,Their
1733,The South Carolina Gazette,their,37.981551817688555,,Their
1734,The South Carolina Gazette,their,85.53100498930863,,Their
1735,The South Carolina Gazette,their,115.56240369799691,,Their
1736,The South Carolina Gazette,their,34.44316877152698,,Their
1736,The Virginia Gazette,their,35.67181926,,Their
1737,The South Carolina Gazette,their,31.725888324873097,,Their
1737,The Virginia Gazette,their,26.845637583892614,,Their
1738,The South Carolina Gazette,their,30.688294607628233,,Their
1738,The Virginia Gazette,their,58.82352941,,Their
1739,The South Carolina Gazette,their,0,,Their
1739,The Virginia Gazette,their,92.89980093,,Their
1740,The South Carolina Gazette,their,108.89292196007258,,Their
1741,The South Carolina Gazette,their,71.94244604316548,,Their
1742,The South Carolina Gazette,their,47.66444232602479,,Their
1743,The South Carolina Gazette,their,73.92197125256673,,Their
1744,The South Carolina Gazette,their,60.33182504,,Their
1745,The South Carolina Gazette,their,22.624434389140273,,Their
1745,The Virginia Gazette,their,61.18881118881119,,Their
1746,The South Carolina Gazette,their,87.06467661691542,,Their
1746,The Virginia Gazette,their,110.7283464566929,,Their
1747,The South Carolina Gazette,their,65.90772918,,Their
1748,The South Carolina Gazette,their,60.77940650697175,,Their
1749,The South Carolina Gazette,their,72.88629738,,Their
1750,The South Carolina Gazette,their,90.49773755656109,,Their
1751,The South Carolina Gazette,their,59.52380952380952,,Their
1751,The Virginia Gazette,their,70.05253940455341,,Their
1752,The South Carolina Gazette,their,54.34782608695652,,Their
1752,The Virginia Gazette,their,78.125,,Their
1753,The South Carolina Gazette,their,125,,Their
1754,The South Carolina Gazette,their,0,,Their
1754,The Virginia Gazette,their,0,,Their
1755,The South Carolina Gazette,their,101.6260162601626,,Their
1755,The Virginia Gazette,their,86.95652173913044,,Their
1756,The South Carolina Gazette,their,122.90502793296089,,Their
1756,The Virginia Gazette,their,42.55319149,,Their
1757,The South Carolina Gazette,their,20.040080160320638,,Their
1759,The South Carolina Gazette,their,106.78056593699947,,Their
1760,The South Carolina Gazette,their,94.03372243839169,,Their
1761,The South Carolina Gazette,their,0,,Their
1761,The Virginia Gazette,their,0,,Their
1762,The South Carolina Gazette,their,80.29978586723769,,Their
1763,The South Carolina Gazette,their,97.56097561,,Their
