Year of arrival at port of disembarkation,Voyage ID,Vessel name,,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1752,100286,Providence,,"Barbados, place unspecified",Charleston,10,"Nicholson, John",,1752-01-01,32.78096,-79.93554
1752,100288,Nancy,,"St. Kitts, port unspecified",Charleston,23,"Marshall, James",,1752-01-01,32.78096,-79.93554
1752,100289,Saint Andrew,,"St. Kitts, port unspecified",Charleston,,"Breading, Andrew",,1752-01-01,32.78096,-79.93554
1752,100290,,,"Jamaica, place unspecified",Charleston,,Edwards,,1752-01-01,32.78096,-79.93554
1752,100291,Nancy,,Cape Fear,Charleston,7,"Fen, Francis",,1752-01-01,32.78096,-79.93554
1752,100292,,,"Barbados, place unspecified",Charleston,,Rice,,1752-01-01,32.78096,-79.93554
1752,102616,William and Mary,,Kingston,"South Carolina, place unspecified",,"Tucker, George",,1752-01-01,#N/A,#N/A
1753,100040,Molly,,"Barbados, place unspecified",Charleston,11,Watts,,1753-01-01,32.78096,-79.93554
1753,100287,Brothers,,"Barbados, place unspecified",Charleston,11,"Cragg, Thomas",,1753-01-01,32.78096,-79.93554
1753,100293,Good Intent,,"Barbados, place unspecified",Charleston,7,"Booth, John",,1753-01-01,32.78096,-79.93554
1753,100294,Benjamin,,"Barbados, place unspecified",Charleston,16,"Thompson, Thomas",,1753-01-01,32.78096,-79.93554
1753,100295,Dutchess of Beaufort,,"St. Kitts, port unspecified",Charleston,,"Nash, William",,1753-01-01,32.78096,-79.93554
1753,100296,Hannah,,"Barbados, place unspecified",Charleston,48,"Cornish, Joseph",,1753-01-01,32.78096,-79.93554
1753,100297,Plymouth,,"Barbados, place unspecified",Charleston,4,"Lang, George",,1753-01-01,32.78096,-79.93554
1753,100298,Arabella,,"Jamaica, place unspecified",Charleston,,"Boyd, James",,1753-01-01,32.78096,-79.93554
1753,100299,Molly and Sally,,"Barbados, place unspecified",Charleston,100,"Wilmhurst, John",,1753-01-01,32.78096,-79.93554
1753,100300,Entwistle,,"Barbados, place unspecified",Charleston,50,"Briggs, William",,1753-01-01,32.78096,-79.93554
1753,100301,Salmond,,"Rhode Island, port unspecified",Charleston,,"Sweeting, Job",,1753-01-01,32.78096,-79.93554
1753,100302,,,"Barbados, place unspecified",Charleston,,Calvert,,1753-01-01,32.78096,-79.93554
1753,100303,,,"Barbados, place unspecified",Charleston,,Parsons,,1753-01-01,32.78096,-79.93554
1753,100304,,,"Barbados, place unspecified",Charleston,,Gaultria,,1753-01-01,32.78096,-79.93554
1753,100305,,,"Barbados, place unspecified",Charleston,,Crumbleholm,,1753-01-01,32.78096,-79.93554
1753,100306,Nancy,,"Antigua, place unspecified",Charleston,,"Copithorn, John",,1753-01-01,32.78096,-79.93554
1753,100308,,,"Americas, port unspecified",Charleston,,Dickinson,,1753-01-01,32.78096,-79.93554
1753,100309,,,"Americas, port unspecified",Charleston,,Gordon,,1753-01-01,32.78096,-79.93554
1753,100351,,,"Anguilla, port unspecified",Charleston,,Peniston,,1753-01-01,32.78096,-79.93554
1753,100352,,,"Anguilla, port unspecified",Charleston,,Robinson,,1753-01-01,32.78096,-79.93554
1754,100307,Molly and Sally,,"Barbados, place unspecified",Charleston,24,"Wilmhurst, John",,1754-01-01,32.78096,-79.93554
1754,100310,Jenny or Diamond,,"Rhode Island, port unspecified",Charleston,,"Brown, William",,1754-01-01,32.78096,-79.93554
1754,100311,Martha,,"Barbados, place unspecified",Charleston,80,"Lone, James",,1754-01-01,32.78096,-79.93554
1754,100312,New Ormond Success,,"Barbados, place unspecified",Charleston,,"Dickson, William",,1754-01-01,32.78096,-79.93554
1754,100313,Katharine,,"Barbados, place unspecified",Charleston,,"Rash, Andrew",,1754-01-01,32.78096,-79.93554
1754,100314,Charming Betty,,"Barbados, place unspecified",Charleston,,"Day, William",,1754-01-01,32.78096,-79.93554
1754,100315,,,Philadelphia,Charleston,,Day,,1754-01-01,32.78096,-79.93554
1754,100316,Elizabeth,,"Jamaica, place unspecified",Charleston,,"Landey (a) Londey, John",,1754-01-01,32.78096,-79.93554
1754,100317,Altia[?],,New York,Charleston,,"Dickerson, [Robert?]",,1754-01-01,32.78096,-79.93554
1754,100318,,,"Jamaica, place unspecified",Charleston,48,,,1754-01-01,32.78096,-79.93554
1754,100319,Mercury,,"Jamaica, place unspecified",Charleston,,"Webb, William",,1754-01-01,32.78096,-79.93554
