Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1753,90166,Lintot,Calabar,Liverpool,"Virginia, port unspecified",,"Lowe, Ralph",,1753-01-01,37.2268,-76.45376
1753,90188,Cumberland,Gambia,Liverpool,"Virginia, port unspecified",,"Allen, Patrick",,1753-01-01,37.2268,-76.45376
1753,90343,True Blue,Benin,Liverpool,"Virginia, port unspecified",72,"Wade, Benjamin",,1753-01-01,37.2268,-76.45376
1753,90361,Nancy,Gambia,Liverpool,"Virginia, port unspecified",,"Midgley, Thomas",,1753-01-01,37.2268,-76.45376
1754,17329,Africa,"Africa, port unspecified",Bristol,Upper James River,240,"Miller, Alexander",,1754-01-01,37.5184,-77.42742
1755,17388,Duke of Cumberland,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Bristol,Upper James River,301,"Knowles, Henry",,1755-01-01,37.5184,-77.42742
1758,90746,Ann and Betty,"Windward Coast, place unspecified",Liverpool,"Virginia, port unspecified",123,"Nichols, Timothy",,1758-01-01,37.2268,-76.45376
1758,17431,Betsey,"Africa, port unspecified",Bristol,"Virginia, port unspecified",,"Rait, Robert",,1758-01-01,37.2268,-76.45376
1759,25800,Petersburg,Gambia,"Virginia, port unspecified",Lower James River,21,"Saunders, Francis",,1759-01-01,36.95002,-76.38292
1759,26094,Agnes,"Africa, port unspecified",Greenock,"Virginia, port unspecified",,"Duthie, Robert",,1759-01-01,37.2268,-76.45376
1759,27057,Lowther,"Africa, port unspecified",Lancaster,Hampton,,,,1759-01-01,37.0297,-76.3456
1759,90738,Willy,Gambia,Liverpool,"Virginia, port unspecified",,"Clarke, William",,1759-01-01,37.2268,-76.45376
1759,17432,Black Prince,Malembo,Bristol,Upper James River,500,"Miller, William",,1759-01-01,37.5184,-77.42742
1759,17441,Molly,Bonny,Bristol,"Virginia, port unspecified",238,"Jenkins, William",,1759-01-01,37.2268,-76.45376
1759,75878,Mildred,Saint-Louis,London,"Virginia, port unspecified",,"Miller, Joseph",,1759-01-01,37.2268,-76.45376
1760,25213,Salisbury,"Africa, port unspecified",,Upper James River,76,"Martin, Thomas",,1760-01-01,37.5184,-77.42742
1760,25214,Agnes,Bance/Bunce Island,Greenock,Upper James River,202,"Duthie, Robert",,1760-01-01,37.5184,-77.42742
1760,75026,Africa Packet,Saint-Louis,London,Hampton,60,"Manson, Robert<br/> Morris",,1760-01-01,37.0297,-76.3456
1760,90670,Mary,Bonny,Liverpool,Rappahannock,128,"Kelly, John<br/> Cottyman, Thomas<br/> Kerr, Daniel",,1760-01-01,37.59826,-76.38813
1760,90799,Juba,Iles de Los,Liverpool,Upper James River,225,"Tallon, John",,1760-01-01,37.5184,-77.42742
1760,17455,Eugene,"Windward Coast, place unspecified",Bristol,Upper James River,359,"Strange, William<br/> Engledue, William",,1760-01-01,37.5184,-77.42742
1760,76153,Sarah,Saint-Louis,London,South Potomac,80,"Coverdale, Norrison",,1760-01-01,38.10394,-76.52077
1760,77725,Woodford,"Africa, port unspecified",London,Potomac river,,"Hall, Jno",,1760-01-01,37.91873,-76.27
